smiles,FP,xtb_homo_ev,xtb_lumo_ev,xtb_gap_ev,xtb_mol_c6_au,xtb_mol_c8_au,xtb_charge_mean,xtb_charge_std,xtb_charge_min,xtb_charge_max,xtb_charge_range,xtb_charge_abs_mean,xtb_charge_abs_max,xtb_charge_median,xtb_charge_q25,xtb_charge_q75,xtb_radius_gyration,xtb_max_distance,xtb_mean_dist_from_com,xtb_charge_iqr,xtb_charge_skew_proxy,xtb_charge_tail_ratio,xtb_softness_inv_gap,xtb_electronegativity,xtb_geom_compactness_rg_over_maxdist,xtb_geom_com_ratio,xtb_hardness_gap_half,xtb_dispersion_balance_c8_c6,xtb_size_density_proxy,xtb_charge_extreme_balance,xtb_total_energy,xtb_dipole_debye,xtb_inertia_1,xtb_inertia_2
CCCC=O,266.15,0.29265885,0.29265885,0.29265885,2514.454785,56065.5303,1.54E-09,0.226913985,-0.40368516,0.34017926,0.74386442,0.20378462,0.40368516,0.05390448,-0.22540536,0.16276652,1.745465007,5.169327105,1.847006155,0.38817188,-0.237554677,1.980940269,3.416947753,-0.29265885,0.337658069,0.35730108,0.146329425,22.2972911,486.4181999,0.842684581,-16.68178972,0.331,38.49418861,195.3738619
CC(C(C)O)O,358.15,0.05491496,0.05491496,0.05491496,3427.297205,71393.6324,3.47E-18,0.304221811,-0.53203663,0.50346408,1.03550071,0.281284154,0.53203663,0.006095785,-0.20985833,0.25188278,1.656981582,5.983930399,1.938874971,0.46174111,-0.020037304,1.891456106,18.20997411,-0.05491496,0.276905223,0.324013624,0.02745748,20.83088455,572.7501786,0.946295897,-21.78489641,0.129,111.8450782,186.9447146
CCCCO,302.15,0.06534495,0.06534495,0.06534495,3316.54869,69200.5492,6.67E-10,0.235489097,-0.43289088,0.30608132,0.7389722,0.211603386,0.43289088,-0.03654149,-0.206393105,0.24815105,1.807351073,5.627971064,2.009672045,0.454544155,0.15517275,2.045765374,15.30340141,-0.06534495,0.321137236,0.357086421,0.032672475,20.86522939,589.2973955,0.707063452,-17.72072513,-0.216,60.78486052,169.8420208
CCCC(=O)O,350.15,0.04658264,0.04658264,0.04658264,2839.010089,63836.28847,7.14E-10,0.303443376,-0.53077846,0.38032209,0.91110055,0.268705335,0.53077846,-0.003010375,-0.193498513,0.309180405,1.83853487,5.244202806,1.954604863,0.502678917,0.009920717,1.975317907,21.4672247,-0.04658264,0.350584243,0.372717253,0.02329132,22.48540388,541.3616128,0.716536406,-20.78641451,-0.29,74.06746285,227.5355753
C(CCN)CCN,335.15,0.0179593,0.0179593,0.0179593,6389.940939,133254.2528,-4.76E-10,0.234452813,-0.42551509,0.29560862,0.72112371,0.220278581,0.42551509,0.06718715,-0.25418863,0.22085324,2.220853058,7.213093523,2.256297006,0.47504187,-0.286570034,1.931713411,55.68145751,-0.0179593,0.307891898,0.312805733,0.00897965,20.85375343,885.8807831,0.694707725,-23.6623802,-0.146,58.88717512,608.9774178
C,85.15,0.29454075,0.29454075,0.29454075,304.252441,5605.545226,-2.78E-18,0.077878987,-0.15090769,0.07285972,0.22376741,0.060363076,0.15090769,0.02774256,0.01492904,0.03537637,1.199184954,3.986183053,1.924062401,0.02044733,-0.356226513,2.5,3.395115956,-0.29454075,0.300835395,0.482682901,0.147270375,18.42399426,76.32676096,0.482809855,-4.174962213,-0.2,3.206512654,3.206513609
C(C(=O)O)Cl,423.15,0.06095852,0.06095852,0.06095852,1287.012694,34892.19753,-1.25E-09,0.371208988,-0.43999281,0.56874434,1.00873715,0.353489624,0.56874434,-0.026210835,-0.315659605,0.300853848,1.277045171,3.73931412,1.562208344,0.616513453,0.070609373,1.608942107,16.40459775,-0.06095852,0.341518559,0.417779382,0.03047926,27.11099719,344.1841612,1.292621895,-18.48920074,0.194,47.67513186,217.7999736
CC1=CC=CC=C1O,354.15,0.02600038,0.02600038,0.02600038,4944.703798,122789.2927,0,0.272491984,-0.55411898,0.36014248,0.91426146,0.249886338,0.55411898,-0.09622991,-0.205691795,0.25177976,2.099751815,5.387004273,2.117292489,0.457471555,0.353147673,2.217484099,38.46097634,-0.02600038,0.389780982,0.393037091,0.01300019,24.83248699,917.8949092,0.649937095,-23.12264528,0.087,157.4822233,226.9479088
CCCCCCCC,286.15,0.02739162,0.02739162,0.02739162,11108.41087,233250.9971,-7.69E-10,0.220327622,-0.26689581,0.33971169,0.6066075,0.213824669,0.33971169,-0.032479855,-0.232667195,0.212687735,2.162988875,7.890580144,2.516114981,0.44535493,0.14741617,1.588739462,36.5075158,-0.02739162,0.274122921,0.31887579,0.01369581,20.99769263,1407.806609,1.272825115,-26.32012398,-0.146,79.66551763,838.5108193
CCCCCCCC(=O)O,383.15,0.20257384,0.20257384,0.20257384,10580.25265,234408.6006,-1.07E-17,0.286056333,-0.62919435,0.39333206,1.02252641,0.258396722,0.62919435,-0.00524834,-0.220571143,0.262229253,2.303915579,6.793548417,2.433694898,0.482800395,0.018347225,2.434993542,4.93647156,-0.20257384,0.339132871,0.35823619,0.10128692,22.15529328,1557.397107,0.625136033,-33.44335176,0.231,92.41953432,1618.622682
