index,count,geometry
0,141,"LINESTRING (128.2005615 36.4648241, 128.2009248 36.4689824)"
1,141,"LINESTRING (128.4671407 35.8887176, 128.4684434 35.8902434)"
2,141,"LINESTRING (128.2009498 36.4692762, 128.2011616 36.4717243)"
3,141,"LINESTRING (128.2390499 36.365316, 128.2391702 36.3660112)"
4,141,"LINESTRING (128.4810624 35.8529078, 128.4809386 35.8529251)"
5,141,"LINESTRING (127.9230321 36.8673831, 127.9222571 36.8676265)"
6,141,"LINESTRING (127.5889163 37.2341131, 127.5885725 37.2341621)"
7,141,"LINESTRING (126.9828124 37.7192671, 126.9809658 37.7180313)"
8,141,"LINESTRING (128.4581372 35.8788373, 128.4581701 35.8789011)"
9,141,"LINESTRING (128.4544348 35.959732, 128.4540367 35.9616663)"
10,141,"LINESTRING (126.9198181 37.7176787, 126.9190546 37.7175289)"
11,141,"LINESTRING (127.8480514 36.9721314, 127.8479559 36.972614)"
12,141,"LINESTRING (128.2657829 36.1666659, 128.265485 36.1699963)"
13,141,"LINESTRING (127.124324 37.6494493, 127.1242989 37.6494781)"
14,141,"LINESTRING (128.4409395 35.9720935, 128.4389468 35.9731531)"
15,141,"LINESTRING (128.2397997 36.3791721, 128.2399736 36.380105)"
16,141,"LINESTRING (127.1876241 37.5351833, 127.1875197 37.535266)"
17,141,"LINESTRING (126.9538698 37.7142748, 126.9535741 37.714515)"
18,141,"LINESTRING (128.3334093 36.1336172, 128.3326245 36.1338147)"
19,141,"LINESTRING (128.491994 35.9061351, 128.4922243 35.9062964)"
20,141,"LINESTRING (127.2439824 37.4792217, 127.2434722 37.4799372)"
21,141,"LINESTRING (128.4084774 36.0497604, 128.4084592 36.0498191)"
22,141,"LINESTRING (127.3197468 37.3557502, 127.3193842 37.356725)"
23,141,"LINESTRING (128.4918068 35.9060528, 128.491994 35.9061351)"
24,141,"LINESTRING (127.3150692 37.38725, 127.3149816 37.3879502)"
25,141,"LINESTRING (128.4168987 36.0268293, 128.4168369 36.0268577)"
26,141,"LINESTRING (128.375524 36.0700525, 128.3749998 36.0700491)"
27,141,"LINESTRING (127.1447893 37.6091308, 127.1445707 37.6093591)"
28,141,"LINESTRING (127.3722564 37.294742, 127.3715114 37.2949638)"
