index,count,geometry
0,21,"LINESTRING (126.7958494 37.4706317, 126.7959561 37.4704719)"
1,21,"LINESTRING (126.8610171 37.3932001, 126.8614382 37.3931041)"
2,21,"LINESTRING (126.937577 37.2936549, 126.9375638 37.2934629)"
3,21,"LINESTRING (126.7940066 37.4842843, 126.7940022 37.484268)"
4,21,"LINESTRING (126.7955805 37.4945826, 126.7955737 37.4943446)"
5,21,"LINESTRING (126.931748 37.2949287, 126.9317116 37.2951151)"
6,21,"LINESTRING (126.8704909 37.3848339, 126.8707662 37.3846019)"
7,21,"LINESTRING (126.799273 37.4651339, 126.7999001 37.4640975)"
8,21,"LINESTRING (126.8656266 37.3906317, 126.8662235 37.3896371)"
9,21,"LINESTRING (126.79413 37.4848718, 126.7941271 37.4848204)"
10,21,"LINESTRING (126.8072191 37.4327752, 126.8073292 37.4323657)"
11,21,"LINESTRING (126.8011148 37.4620136, 126.8017063 37.4610292)"
12,21,"LINESTRING (126.9376156 37.293775, 126.9375856 37.2937172)"
13,21,"LINESTRING (126.7957508 37.4707789, 126.7958494 37.4706317)"
14,21,"LINESTRING (126.9159047 37.3401866, 126.9175893 37.3385381)"
15,21,"LINESTRING (126.7940318 37.4843737, 126.7940132 37.4843078)"
16,21,"LINESTRING (126.9378998 37.294099, 126.9376156 37.293775)"
17,21,"LINESTRING (126.8002995 37.3879331, 126.800462 37.3880747)"
18,21,"LINESTRING (126.79547 37.4799692, 126.7954668 37.4795925)"
19,21,"LINESTRING (126.9419976 37.2902749, 126.9419968 37.2902308)"
20,21,"LINESTRING (126.7954611 37.4752533, 126.7954626 37.4752173)"
21,21,"LINESTRING (126.9060606 37.3493271, 126.9106838 37.3450353)"
22,21,"LINESTRING (126.9350201 37.3022997, 126.9352507 37.3019339)"
23,21,"LINESTRING (126.9399731 37.2915652, 126.9398222 37.2913734)"
24,21,"LINESTRING (126.7950259 37.4825778, 126.7950622 37.4824509)"
25,21,"LINESTRING (126.8202247 37.3892455, 126.8210872 37.3894271)"
26,21,"LINESTRING (126.8801783 37.3731745, 126.8805178 37.3726751)"
27,21,"LINESTRING (126.9400334 37.291643, 126.9399731 37.2915652)"
28,21,"LINESTRING (126.8450293 37.394626, 126.8460131 37.3947793)"
29,21,"LINESTRING (126.9375856 37.2937172, 126.9375802 37.2936757)"
30,21,"LINESTRING (126.799907 37.464084, 126.7999725 37.4639735)"
31,21,"LINESTRING (126.9419868 37.2898972, 126.9419659 37.2896699)"
