index,count,geometry
0,167,"LINESTRING (127.0876263 36.4762567, 127.0877369 36.4768845)"
1,167,"LINESTRING (126.8073162 35.3868821, 126.8072722 35.3870027)"
2,167,"LINESTRING (126.8804162 35.1758395, 126.8803864 35.1758592)"
3,167,"LINESTRING (126.9993741 35.7559742, 126.9991937 35.7572294)"
4,167,"LINESTRING (127.088137 37.133858, 127.0875496 37.1346249)"
5,167,"LINESTRING (127.2208548 37.3245666, 127.2208025 37.3249776)"
6,167,"LINESTRING (127.169006 37.4803325, 127.1689705 37.4806903)"
7,167,"LINESTRING (127.1549242 37.8682497, 127.1549874 37.8683499)"
8,167,"LINESTRING (127.1916365 37.3964579, 127.1914606 37.3977383)"
9,167,"LINESTRING (127.0017148 35.7749324, 127.0019874 35.7752166)"
10,167,"LINESTRING (126.8855855 35.1407923, 126.885674 35.1408496)"
11,167,"LINESTRING (126.8842159 35.1682855, 126.8842796 35.168863)"
12,167,"LINESTRING (127.1148505 37.6099022, 127.1148268 37.6105429)"
13,167,"LINESTRING (126.8701867 35.1920453, 126.869672 35.1922654)"
14,167,"LINESTRING (127.0806496 36.4090664, 127.081337 36.4102408)"
15,167,"LINESTRING (126.7878463 35.2974793, 126.7880905 35.2978531)"
16,167,"LINESTRING (127.089014 37.1606971, 127.0896041 37.1619728)"
17,167,"LINESTRING (127.0660758 36.2605981, 127.0659371 36.2627243)"
18,167,"LINESTRING (127.0701331 36.3379803, 127.069878 36.338789)"
19,167,"LINESTRING (127.0834874 36.0992537, 127.0829313 36.0997963)"
20,167,"LINESTRING (127.0648864 36.2530505, 127.0652025 36.2540686)"
21,167,"LINESTRING (127.2029403 37.2748373, 127.2033167 37.2752159)"
22,167,"LINESTRING (127.2199001 37.3333331, 127.2199074 37.3337874)"
23,167,"LINESTRING (126.8035643 35.4284353, 126.8036538 35.4286603)"
24,167,"LINESTRING (126.8015475 35.4170501, 126.8015864 35.4176472)"
25,167,"LINESTRING (127.1034723 35.9609384, 127.1037249 35.9618778)"
26,167,"LINESTRING (127.1127222 35.9843721, 127.1130205 35.9848365)"
27,167,"LINESTRING (127.1654737 37.8439196, 127.1659485 37.8442364)"
28,167,"LINESTRING (127.1375609 37.0420516, 127.1374126 37.0427263)"
29,167,"LINESTRING (127.0895908 36.0941123, 127.0895741 36.0941258)"
30,167,"LINESTRING (126.7883638 35.2837101, 126.7877541 35.2845279)"
31,167,"LINESTRING (126.8104773 35.3672114, 126.8104191 35.3674582)"
32,167,"LINESTRING (127.1581856 37.8265088, 127.1585944 37.8270616)"
33,167,"LINESTRING (126.8136242 35.245741, 126.8133829 35.2460715)"
34,167,"LINESTRING (127.1138991 35.9868868, 127.1139089 35.9869247)"
35,167,"LINESTRING (127.171977 37.5078162, 127.171912 37.5081802)"
36,167,"LINESTRING (126.8244492 35.5610018, 126.8244702 35.5612643)"
37,167,"LINESTRING (127.146361 36.7265047, 127.1464703 36.7266014)"
38,167,"LINESTRING (127.0723458 36.3262133, 127.0723458 36.3262151)"
39,167,"LINESTRING (126.80802 35.4428982, 126.8078449 35.4437854)"
40,167,"LINESTRING (127.0723195 36.3283859, 127.0723155 36.3284959)"
41,167,"LINESTRING (127.1660427 36.8017959, 127.1656952 36.8028415)"
42,167,"LINESTRING (127.1254524 37.0861623, 127.125251 37.0866205)"
