index,count,geometry
0,126,"LINESTRING (127.1589493 37.5704425, 127.1603359 37.5710847)"
1,126,"LINESTRING (127.1471783 37.566286, 127.1474444 37.5662814)"
2,126,"LINESTRING (127.1576385 37.5698402, 127.1582182 37.5701024)"
3,126,"LINESTRING (127.1564903 37.5693276, 127.1566124 37.5693829)"
4,126,"LINESTRING (127.1498213 37.5665066, 127.1498937 37.5665212)"
5,126,"LINESTRING (127.1520742 37.5673326, 127.1521115 37.5673498)"
6,126,"LINESTRING (127.1474444 37.5662814, 127.1479336 37.5662874)"
7,126,"LINESTRING (127.1479336 37.5662874, 127.1482981 37.5663011)"
8,126,"LINESTRING (127.1566124 37.5693829, 127.1566519 37.5694011)"
9,126,"LINESTRING (127.151151 37.5669243, 127.1520742 37.5673326)"
10,126,"LINESTRING (127.1488086 37.5663369, 127.1492047 37.5663948)"
11,126,"LINESTRING (127.1587516 37.5703437, 127.1588115 37.5703745)"
12,126,"LINESTRING (127.1566519 37.5694011, 127.1576373 37.5698402)"
13,126,"LINESTRING (127.1561434 37.5691707, 127.1562406 37.5692151)"
14,126,"LINESTRING (127.1482981 37.5663011, 127.1484758 37.5663079)"
15,126,"LINESTRING (127.1521115 37.5673498, 127.1533647 37.567916)"
16,126,"LINESTRING (127.1576373 37.5698402, 127.1576385 37.5698402)"
17,126,"LINESTRING (127.1492047 37.5663948, 127.1494943 37.5664425)"
18,126,"LINESTRING (127.1507079 37.5667598, 127.151151 37.5669243)"
19,126,"LINESTRING (127.1443373 37.5665091, 127.1459085 37.566366)"
20,126,"LINESTRING (127.1498937 37.5665212, 127.1499582 37.5665341)"
21,126,"LINESTRING (127.150242 37.5666088, 127.1507079 37.5667598)"
22,126,"LINESTRING (127.1459085 37.566366, 127.1467218 37.566309)"
23,126,"LINESTRING (127.1408029 37.5668211, 127.1416219 37.5667488)"
24,126,"LINESTRING (127.1416219 37.5667488, 127.1418179 37.5667314)"
25,126,"LINESTRING (127.1538856 37.5681527, 127.1561434 37.5691707)"
26,126,"LINESTRING (127.1484758 37.5663079, 127.1488086 37.5663369)"
27,126,"LINESTRING (127.1404007 37.566856, 127.1408029 37.5668211)"
28,126,"LINESTRING (127.1494943 37.5664425, 127.1496572 37.5664746)"
29,126,"LINESTRING (127.1582182 37.5701024, 127.1587516 37.5703437)"
30,126,"LINESTRING (127.1418179 37.5667314, 127.1429111 37.5666346)"
31,126,"LINESTRING (127.1588115 37.5703745, 127.1589493 37.5704425)"
32,126,"LINESTRING (127.1429111 37.5666346, 127.1430697 37.5666207)"
33,126,"LINESTRING (127.1496572 37.5664746, 127.1498213 37.5665066)"
