idx,mid_lat,mid_lng,end_lat,end_lng,mid_time,end_time
0,37.554989,126.9695548,37.7523142,128.9318737,0+1老 10矫,0+1老 14矫
1,35.8482251,128.5819932,36.6289103,128.3595209,0+1老 10矫,0+1老 14矫
2,35.1690975,129.1363115,35.9751779,129.4183025,0+1老 10矫,0+1老 14矫
3,37.6786247,127.0476965,38.0018811,127.3289276,0+1老 10矫,0+1老 14矫
4,36.6401158,127.4714265,35.9763658,129.4168229,0+1老 10矫,0+1老 14矫
5,35.2109661,128.9722215,35.2036255,128.1456409,0+1老 10矫,0+1老 14矫
6,37.5498986,127.0809212,37.779425,127.224563,0+1老 10矫,0+1老 14矫
7,37.6316217,127.0783723,37.7956105,127.0537188,0+1老 10矫,0+1老 14矫
8,37.464007,126.9522394,37.8112874,127.3499444,0+1老 10矫,0+1老 14矫
9,35.8820325,128.5872781,36.5739026,128.7018796,0+1老 10矫,0+1老 14矫
10,37.5294022,127.0730711,38.0196989,127.3459649,0+1老 10矫,0+1老 14矫
11,37.464007,126.9522394,37.8334887,127.3437178,0+1老 10矫,0+1老 14矫
12,37.4331877,127.1376777,37.3710839,127.9128493,0+1老 10矫,0+1老 14矫
13,37.6345911,127.0121014,37.8579816,127.0685515,0+1老 10矫,0+1老 14矫
14,37.5657394,127.0108476,37.8734346,127.1573987,0+1老 10矫,0+1老 14矫
15,37.6316217,127.0783723,37.8496334,127.1226084,0+1老 10矫,0+1老 14矫
16,37.8805503,127.7240508,38.0652548,127.5424996,0+1老 10矫,0+1老 14矫
17,37.5178266,126.9708457,37.7882518,127.1319663,0+1老 10矫,0+1老 14矫
18,37.5964494,127.0525009,37.70958,127.155726,0+1老 10矫,0+1老 14矫
19,37.3697534,127.9300762,37.5313521,129.1030394,0+1老 10矫,0+1老 14矫
20,37.2977747,127.0113659,37.8920131,126.9528839,0+1老 10矫,0+1老 14矫
21,37.2977747,127.0113659,37.8517689,126.8643123,0+1老 10矫,0+1老 14矫
22,37.4558222,129.1736407,38.3486518,128.5034822,0+1老 10矫,0+1老 14矫
23,35.8820325,128.5872781,36.0036432,127.046439,0+1老 10矫,0+1老 14矫
24,37.2977747,127.0113659,37.3710839,127.9128493,0+1老 10矫,0+1老 14矫
25,37.6429793,127.1042696,38.2532348,127.3988876,0+1老 10矫,0+1老 14矫
26,35.8482251,128.5819932,35.092092,128.0812383,0+1老 10矫,0+1老 14矫
27,35.8462574,127.1320049,35.4549761,126.6928631,0+1老 10矫,0+1老 14矫
28,37.2939061,127.030614,37.9039961,128.0425342,0+1老 10矫,0+1老 14矫
29,36.5598062,128.7281196,36.5808862,127.2578753,0+1老 10矫,0+1老 14矫
30,37.5087724,127.0718415,37.8253082,127.7140122,0+1老 10矫,0+1老 14矫
31,37.5064513,127.0126922,37.4547112,127.6278978,0+1老 10矫,0+1老 14矫
32,37.5575753,127.0466899,38.0048647,127.3663063,0+1老 10矫,0+1老 14矫
33,37.5178266,126.9708457,36.950709,127.0517954,0+1老 10矫,0+1老 14矫
34,37.4102033,127.1212796,38.1943062,127.1080386,0+1老 10矫,0+1老 14矫
35,37.4104323,127.2552261,37.1559879,127.5735298,0+1老 10矫,0+1老 14矫
36,37.5964494,127.0525009,37.9560746,127.2975741,0+1老 10矫,0+1老 14矫
37,35.2109661,128.9722215,35.0851654,128.0764647,0+1老 10矫,0+1老 14矫
38,37.3697534,127.9300762,37.861988,128.1961547,0+1老 10矫,0+1老 14矫
39,37.6429793,127.1042696,38.0296994,127.3681585,0+1老 10矫,0+1老 14矫
40,37.5657394,127.0108476,38.0903846,127.2766811,0+1老 10矫,0+1老 14矫
41,37.4988176,127.0957019,37.8242012,127.7119502,0+1老 10矫,0+1老 14矫
42,35.220932,128.579706,35.9928273,129.4118653,0+1老 10矫,0+1老 14矫
43,37.3697534,127.9300762,38.0753603,128.0085787,0+1老 10矫,0+1老 14矫
44,37.4102033,127.1212796,38.1818298,127.100586,0+1老 10矫,0+1老 14矫
45,37.464007,126.9522394,37.4699731,127.5232462,0+1老 10矫,0+1老 14矫
46,37.464007,126.9522394,37.4593325,127.5268917,0+1老 10矫,0+1老 14矫
47,37.464007,126.9522394,37.4308073,127.5546158,0+1老 10矫,0+1老 14矫
48,37.5023367,127.0481789,37.9618677,127.7381353,0+1老 10矫,0+1老 14矫
49,37.5575753,127.0466899,38.0045552,127.3751072,0+1老 10矫,0+1老 14矫
50,37.5023367,127.0481789,37.9405871,127.7149477,0+1老 10矫,0+1老 14矫
51,37.4331877,127.1376777,37.1511974,127.5745602,0+1老 10矫,0+1老 14矫
52,37.5052201,127.0613942,38.0399039,127.6408012,0+1老 10矫,0+1老 14矫
53,37.5561082,127.15085,38.0666833,127.5030288,0+1老 10矫,0+1老 14矫
54,37.8805503,127.7240508,38.1348843,127.5320249,0+1老 10矫,0+1老 14矫
55,37.6786247,127.0476965,38.0018706,127.328999,0+1老 10矫,0+1老 14矫
56,37.8805503,127.7240508,38.0547582,127.5251248,0+1老 10矫,0+1老 14矫
57,37.5426619,127.207932,37.4546762,127.5305097,0+1老 10矫,0+1老 14矫
