dataset,model_name,epochs,num-folds,SEED,criterion,fold_test_losses,fold_test_r2s,cv_mean_test_loss,cv_mean_test_r2,best_fold,worst_fold
freesolv,KROVEX,300,5,100,MSELoss(),"[1.2447572946548462, 1.6107000932097435, 0.6511877588927746, 1.024178296327591, 0.8633407410674208]","[0.9107037832134022, 0.9118853990935673, 0.9509474960080545, 0.9382629509297356, 0.9263303553361344]",1.0788328368304752,0.9276259969161789,3,2
freesolv,KROVEX,300,5,100,MSELoss(),"[1.0654788613319397, 1.7000256851315498, 0.5449201539158821, 1.0090309828519821, 0.9815113610170019]","[0.9235648345326924, 0.9069987696266008, 0.9589523938690723, 0.9391760271117925, 0.9162467500067282]",1.0601934088496712,0.9289877550293772,3,2
