dataset,model_name,epochs,num-folds,SEED,criterion,fold_test_losses,fold_test_r2s,cv_mean_test_loss,cv_mean_test_r2,best_fold,worst_fold
solubility_full,fag,300,5,100,MSELoss(),"[0.49182498862136814, 0.46010508561717833, 0.3917434205368424, 0.40133583206443807, 0.4950194486719543]","[0.8896179816109976, 0.893639694021392, 0.9056017707197308, 0.8995639097338366, 0.8846415678635454]",0.44800575510235624,0.8946129847899005,3,5
solubility_full,fag,300,5,100,MSELoss(),"[0.4773439964959075, 0.47039585749263035, 0.45322696524515843, 0.39851774722252914, 0.4851694267855901]","[0.8928680001786196, 0.8912608279692257, 0.8907861118604252, 0.900269146527278, 0.8869370030121544]",0.4569307986483631,0.8924242179095406,4,5
solubility_full,fag,300,5,100,MSELoss(),"[0.4975525248640969, 0.47156652909961694, 0.4152679949846197, 0.38075106277612375, 0.4717576311743253]","[0.8883325325910828, 0.8909902056025896, 0.8999330688284556, 0.9047153380414152, 0.8900624607136085]",0.4473791485797565,0.8948067211554303,4,1
