dataset,epochs,num-folds,SEED,criterion,test_losses,,,,,
freesolv,300,5,300,MSELoss(),"[7.470183364988312, 4.9493107833261565, 6.123809814453125, 6.0821898452878935, 6.092300444158889]",,,,,
freesolv,300,5,300,MSELoss(),"[6.48762572281004, 3.8612994096410556, 4.658560084545706, 3.0398433414969857, 4.89395860861276]",,,,,
freesolv,300,5,300,MSELoss(),"[6.505801223394439, 4.470652182271161, 4.8562155896284445, 5.138904721718135, 4.810986045662683]",,,,,
freesolv,300,5,300,MSELoss(),"[7.015109565314345, 4.611361526128814, 3.2070221187561514, 3.640447781780573, 4.710503527226339]",,,,,
freesolv,300,5,300,MSELoss(),"[3.6613087090920278, 5.089619794229823, 3.602054986428088, 3.178137591504675, 3.4095833374343756]",,,,,
freesolv,300,5,300,MSELoss(),"[2.2854990921621248, 2.334508520411694, 1.5708723894254428, 1.2602834025705894, 1.687598207638464]",,,,,
freesolv,300,5,300,MSELoss(),"[1.7189938402551366, 1.6611605666753815, 1.1209332023079939, 1.370358264352393, 1.6207226128068588]",,,,,
freesolv,300,5,300,MSELoss(),"[1.6065487598809671, 1.296209560604546, 1.1901240311269685, 1.5783955130990095, 1.79496213725505]",,,,,
freesolv,300,5,300,MSELoss(),"[1.5888352281465306, 1.2355216619536633, 0.8111592090035987, 1.3097639909879428, 1.1768842371365495]",,,,,
freesolv,300,5,300,MSELoss(),"[1.1972331550177626, 1.5207220963605745, 0.6547592944047582, 1.3085326547697773, 0.8855021059058095]",,,,,
freesolv,300,5,300,MSELoss(),"[3.1577881339966782, 3.8042810395007995, 2.8969911590335875, 2.8840847465935653, 2.4449025638230886]",,,,,
freesolv,300,5,300,MSELoss(),"[1.2767567672128752, 1.6109488780104269, 0.8628734979103869, 1.1886585866372417, 1.0240398047079566]",,,,,
freesolv,300,5,300,MSELoss(),"[1.95021420576441, 1.5343643548920398, 1.0551938635157787, 0.8238993366872231, 0.860072458745869]",,,,,
freesolv,300,5,300,MSELoss(),"[1.2763041999396376, 1.0151922271007627, 0.8815022265817237, 1.0022094005674829, 1.0032843294489475]",,,,,
freesolv,300,5,300,MSELoss(),"[1.8383539154773623, 1.1626740102692852, 1.0280213844119095, 1.1982594287301611, 1.0755571372920776]",,,,,
freesolv,300,5,300,MSELoss(),"[1.023606337900237, 1.1720553420660065, 0.6691452386811023, 1.12399213896023, 1.0020903992175145]",,,,,
freesolv,300,5,300,MSELoss(),"[1.9935571865772639, 1.5885684396338275, 1.7987077367587352, 1.2465235192006028, 1.9183831833701097]",,,,,
,,,,,1.993557187,1.58856844,1.798707737,1.246523519,1.918383183,1.709148013
