idx,mid_lat,mid_lng,end_lat,end_lng,mid_time,end_time
0,35.5610412,129.3504859,35.9794965,129.4363624,0+27老 11矫,0+27老 14矫
1,36.366638,127.3457442,35.9614577,127.1428135,0+27老 12矫,0+27老 14矫
2,34.9383436,127.5194453,35.1949592,126.9037601,0+27老 11矫,0+27老 14矫
3,36.0086102,129.3638275,36.5739026,128.7018796,0+27老 9矫,0+27老 14矫
4,35.9072899,128.801112,36.5739026,128.7018796,0+27老 10矫,0+27老 14矫
5,36.366638,127.3457442,36.5649622,127.2776043,0+27老 12矫,0+27老 14矫
6,35.8526319,128.5604,35.9794965,129.4363624,0+27老 11矫,0+27老 14矫
7,35.8548554,128.564821,36.5739026,128.7018796,0+27老 10矫,0+27老 14矫
8,35.5610412,129.3504859,35.9794511,129.4363443,0+27老 11矫,0+27老 14矫
9,35.8526319,128.5604,35.9794511,129.4363443,0+27老 11矫,0+27老 14矫
