index,count,geometry
82,188,"LINESTRING (128.1148209 37.9994321, 128.1148736 37.9994715)"
83,188,"LINESTRING (128.5916825 35.8990233, 128.5917554 35.8993345)"
84,188,"LINESTRING (128.5494921 36.1831902, 128.5495417 36.1834088)"
85,188,"LINESTRING (127.97464 37.5810468, 127.9747114 37.5821327)"
86,188,"LINESTRING (127.9991015 37.8179896, 127.9992868 37.8181664)"
87,188,"LINESTRING (128.6178364 36.4438158, 128.6179743 36.4442499)"
88,188,"LINESTRING (128.2890464 36.9866924, 128.2890467 36.987482)"
89,188,"LINESTRING (128.173063 38.062961, 128.1749884 38.0645794)"
90,188,"LINESTRING (128.5522791 35.8942091, 128.5513127 35.8937722)"
91,188,"LINESTRING (128.1574394 38.0427528, 128.1576507 38.0429355)"
92,188,"LINESTRING (128.5606743 36.2028493, 128.5608866 36.2036579)"
93,188,"LINESTRING (127.9199568 37.3338325, 127.9197142 37.3340623)"
94,188,"LINESTRING (128.5585029 36.7024455, 128.5589044 36.7037175)"
95,188,"LINESTRING (128.5820116 36.6053329, 128.5814455 36.6056265)"
96,188,"LINESTRING (128.1753771 38.0649521, 128.1752784 38.0650058)"
97,188,"LINESTRING (128.5721701 36.7210876, 128.5725529 36.7215592)"
98,188,"LINESTRING (127.922525 37.7141075, 127.9235303 37.7153116)"
99,188,"LINESTRING (128.5369775 36.0749282, 128.5369937 36.0757448)"
100,188,"LINESTRING (128.5358282 36.060115, 128.5358448 36.0604557)"
101,188,"LINESTRING (128.5409124 36.1450828, 128.5410867 36.1457412)"
102,188,"LINESTRING (128.1174871 37.2023868, 128.1162866 37.2028916)"
103,188,"LINESTRING (128.603 36.4123416, 128.6032496 36.4127243)"
104,188,"LINESTRING (128.5540036 36.2196872, 128.5539374 36.220391)"
105,188,"LINESTRING (128.5760991 36.3758163, 128.5763371 36.3764245)"
106,188,"LINESTRING (127.9791807 37.5291071, 127.9790401 37.5294159)"
107,188,"LINESTRING (127.9316768 37.4499416, 127.9319248 37.4503914)"
108,188,"LINESTRING (128.5374917 36.1151529, 128.5377831 36.1156823)"
109,188,"LINESTRING (128.0372989 37.2593079, 128.0367874 37.2598493)"
110,188,"LINESTRING (127.8684078 37.6811984, 127.8684954 37.6812441)"
111,188,"LINESTRING (128.5612997 36.615016, 128.560966 36.6152209)"
112,188,"LINESTRING (128.1456873 37.1295952, 128.1452849 37.1300652)"
113,188,"LINESTRING (127.9645411 37.5006259, 127.9655689 37.5014394)"
114,188,"LINESTRING (128.1263989 37.1973995, 128.1260989 37.1977743)"
115,188,"LINESTRING (127.980058 37.5277155, 127.9795474 37.5284062)"
116,188,"LINESTRING (127.9912014 37.2911578, 127.9909379 37.2915907)"
117,188,"LINESTRING (128.1755055 38.0707294, 128.1755948 38.0707721)"
118,188,"LINESTRING (128.1755417 38.0658704, 128.1756759 38.0659589)"
119,188,"LINESTRING (128.3175262 36.9440706, 128.3174504 36.944127)"
120,188,"LINESTRING (127.9739381 37.5696629, 127.9737829 37.5700106)"
121,188,"LINESTRING (128.0144493 37.8602579, 128.0148871 37.8606075)"
122,188,"LINESTRING (128.5814872 36.2837826, 128.5813617 36.2850161)"
123,188,"LINESTRING (128.3522322 36.9196197, 128.3505373 36.9202575)"
124,188,"LINESTRING (128.0807129 37.2325587, 128.0801496 37.232758)"
125,188,"LINESTRING (128.5823117 36.2962411, 128.5828747 36.2970077)"
126,188,"LINESTRING (127.9544684 37.7629684, 127.9546068 37.7631355)"
127,188,"LINESTRING (128.561373 35.8974035, 128.560907 35.897111)"
128,188,"LINESTRING (128.5527917 36.6301864, 128.5525618 36.6308825)"
129,188,"LINESTRING (127.853813 37.6723127, 127.8540638 37.6725931)"
130,188,"LINESTRING (128.0026734 37.8213075, 128.0027501 37.8213838)"
131,188,"LINESTRING (128.6430248 36.5740661, 128.6422117 36.5747833)"
132,188,"LINESTRING (128.5752773 36.2644616, 128.5754499 36.2647873)"
133,188,"LINESTRING (128.6197883 36.5136579, 128.6199374 36.5137746)"
134,188,"LINESTRING (128.0423431 37.2570819, 128.0415006 37.2572237)"
135,188,"LINESTRING (128.0226074 37.8833052, 128.0226457 37.8834141)"
136,188,"LINESTRING (128.0632458 37.9387068, 128.0638473 37.9408797)"
