index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"128.5259017,35.8868903/128.5256777,35.8885042",327,"128.5259017,35.8868903","128.5256777,35.8885042",35.8868903,128.5259017,35.8885042,128.5256777
1,"128.5288227,35.8817084/128.5282562,35.882191",327,"128.5288227,35.8817084","128.5282562,35.882191",35.8817084,128.5288227,35.882191,128.5282562
2,"128.5300425,35.8800895/128.5297951,35.8804892",327,"128.5300425,35.8800895","128.5297951,35.8804892",35.8800895,128.5300425,35.8804892,128.5297951
3,"128.5303625,35.8794746/128.5300425,35.8800895",327,"128.5303625,35.8794746","128.5300425,35.8800895",35.8794746,128.5303625,35.8800895,128.5300425
4,"128.5297222,35.8805935/128.5288227,35.8817084",327,"128.5297222,35.8805935","128.5288227,35.8817084",35.8805935,128.5297222,35.8817084,128.5288227
5,"128.5297951,35.8804892/128.5297222,35.8805935",327,"128.5297951,35.8804892","128.5297222,35.8805935",35.8804892,128.5297951,35.8805935,128.5297222
6,"128.5271747,35.8837158/128.5268369,35.8842389",327,"128.5271747,35.8837158","128.5268369,35.8842389",35.8837158,128.5271747,35.8842389,128.5268369
7,"128.5260181,35.8862032/128.5259017,35.8868903",327,"128.5260181,35.8862032","128.5259017,35.8868903",35.8862032,128.5260181,35.8868903,128.5259017
8,"128.526114,35.8858255/128.5260181,35.8862032",327,"128.526114,35.8858255","128.5260181,35.8862032",35.8858255,128.526114,35.8862032,128.5260181
9,"128.5265845,35.8846783/128.5263023,35.8853073",327,"128.5265845,35.8846783","128.5263023,35.8853073",35.8846783,128.5265845,35.8853073,128.5263023
10,"128.5268369,35.8842389/128.5265845,35.8846783",327,"128.5268369,35.8842389","128.5265845,35.8846783",35.8842389,128.5268369,35.8846783,128.5265845
11,"128.5263023,35.8853073/128.526114,35.8858255",327,"128.5263023,35.8853073","128.526114,35.8858255",35.8853073,128.5263023,35.8858255,128.526114
12,"128.5277981,35.8828342/128.527562,35.8831662",327,"128.5277981,35.8828342","128.527562,35.8831662",35.8828342,128.5277981,35.8831662,128.527562
13,"128.5282562,35.882191/128.5277981,35.8828342",327,"128.5282562,35.882191","128.5277981,35.8828342",35.882191,128.5282562,35.8828342,128.5277981
14,"128.527562,35.8831662/128.5271747,35.8837158",327,"128.527562,35.8831662","128.5271747,35.8837158",35.8831662,128.527562,35.8837158,128.5271747
15,"128.6213194,36.4752536/128.6210614,36.4757059",188,"128.6213194,36.4752536","128.6210614,36.4757059",36.4752536,128.6213194,36.4757059,128.6210614
16,"128.547952,35.9489616/128.5486369,35.9496084",188,"128.547952,35.9489616","128.5486369,35.9496084",35.9489616,128.547952,35.9496084,128.5486369
17,"128.2209304,37.0493957/128.2206406,37.0494335",188,"128.2209304,37.0493957","128.2206406,37.0494335",37.0493957,128.2209304,37.0494335,128.2206406
18,"128.5501131,36.1675587/128.5503493,36.1681813",188,"128.5501131,36.1675587","128.5503493,36.1681813",36.1675587,128.5501131,36.1681813,128.5503493
19,"127.8687157,37.6813029/127.8689984,37.6813786",188,"127.8687157,37.6813029","127.8689984,37.6813786",37.6813029,127.8687157,37.6813786,127.8689984
20,"127.9690494,37.7753575/127.9694117,37.7757328",188,"127.9690494,37.7753575","127.9694117,37.7757328",37.7753575,127.9690494,37.7757328,127.9694117
21,"127.9876632,37.8009974/127.9878701,37.8015346",188,"127.9876632,37.8009974","127.9878701,37.8015346",37.8009974,127.9876632,37.8015346,127.9878701
22,"128.6255874,36.5889916/128.6249994,36.5891413",188,"128.6255874,36.5889916","128.6249994,36.5891413",36.5889916,128.6255874,36.5891413,128.6249994
23,"128.5914369,35.8982457/128.5916825,35.8990233",188,"128.5914369,35.8982457","128.5916825,35.8990233",35.8982457,128.5914369,35.8990233,128.5916825
24,"128.1531615,37.0978913/128.1521455,37.1001396",188,"128.1531615,37.0978913","128.1521455,37.1001396",37.0978913,128.1531615,37.1001396,128.1521455
