idx,num_bus
0,190
1,147
2,133
3,115
4,109
5,70
6,53
7,50
8,45
9,44
10,41
11,39
12,38
13,37
14,37
15,37
16,34
17,34
18,34
19,33
20,32
21,31
22,31
23,29
24,27
25,26
26,26
27,26
28,25
29,25
30,24
31,24
32,23
33,23
34,23
35,23
36,23
37,23
38,21
39,20
40,19
41,18
42,18
43,17
44,16
45,15
46,13
47,12
48,12
49,11
50,11
51,10
52,10
53,10
54,10
55,10
56,9
57,8
58,8
59,7
60,7
61,7
62,7
63,7
64,5
65,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,4
87,4
88,4
89,4
90,4
91,4
92,3
93,3
94,3
95,3
96,3
97,3
98,2
99,2
100,2
101,2
102,1
103,1
