index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
0,"128.577374,35.2266909/128.577199,35.2268412",74,"128.577374,35.2266909","128.577199,35.2268412",35.2266909,128.577374,35.2268412,128.577199
1,"128.5691353,35.2310837/128.5685261,35.2313028",74,"128.5691353,35.2310837","128.5685261,35.2313028",35.2310837,128.5691353,35.2313028,128.5685261
2,"128.5809219,35.2227767/128.5809264,35.2227902",74,"128.5809219,35.2227767","128.5809264,35.2227902",35.2227767,128.5809219,35.2227902,128.5809264
3,"128.5829008,35.2241016/128.5826235,35.2241545",74,"128.5829008,35.2241016","128.5826235,35.2241545",35.2241016,128.5829008,35.2241545,128.5826235
4,"128.5629866,35.2340917/128.5629717,35.2341315",74,"128.5629866,35.2340917","128.5629717,35.2341315",35.2340917,128.5629866,35.2341315,128.5629717
5,"128.5813001,35.2243701/128.5811688,35.224411",74,"128.5813001,35.2243701","128.5811688,35.224411",35.2243701,128.5813001,35.224411,128.5811688
6,"128.5804617,35.2220496/128.5805173,35.2221852",74,"128.5804617,35.2220496","128.5805173,35.2221852",35.2220496,128.5804617,35.2221852,128.5805173
7,"128.5808702,35.2226942/128.5809036,35.2227255",74,"128.5808702,35.2226942","128.5809036,35.2227255",35.2226942,128.5808702,35.2227255,128.5809036
8,"128.5738984,35.2290354/128.5734199,35.2292497",74,"128.5738984,35.2290354","128.5734199,35.2292497",35.2290354,128.5738984,35.2292497,128.5734199
9,"128.5632465,35.2333726/128.5631277,35.2335342",74,"128.5632465,35.2333726","128.5631277,35.2335342",35.2333726,128.5632465,35.2335342,128.5631277
10,"128.569637,35.23088/128.5695419,35.230916",74,"128.569637,35.23088","128.5695419,35.230916",35.23088,128.569637,35.230916,128.5695419
11,"128.5695419,35.230916/128.5694676,35.2309474",74,"128.5695419,35.230916","128.5694676,35.2309474",35.230916,128.5695419,35.2309474,128.5694676
12,"128.5646583,35.232592/128.5644987,35.2326574",74,"128.5646583,35.232592","128.5644987,35.2326574",35.232592,128.5646583,35.2326574,128.5644987
13,"128.5766371,35.2273078/128.5763714,35.2275744",74,"128.5766371,35.2273078","128.5763714,35.2275744",35.2273078,128.5766371,35.2275744,128.5763714
14,"128.5630637,35.2338548/128.5630143,35.2340239",74,"128.5630637,35.2338548","128.5630143,35.2340239",35.2338548,128.5630637,35.2340239,128.5630143
15,"128.581495,35.223904/128.5828021,35.2237066",74,"128.581495,35.223904","128.5828021,35.2237066",35.223904,128.581495,35.2237066,128.5828021
16,"128.5787662,35.2256163/128.5782167,35.2260242",74,"128.5787662,35.2256163","128.5782167,35.2260242",35.2256163,128.5787662,35.2260242,128.5782167
17,"128.581448,35.2243382/128.5813001,35.2243701",74,"128.581448,35.2243382","128.5813001,35.2243701",35.2243382,128.581448,35.2243701,128.5813001
18,"128.5683937,35.2313491/128.5679669,35.2314845",74,"128.5683937,35.2313491","128.5679669,35.2314845",35.2313491,128.5683937,35.2314845,128.5679669
19,"128.577199,35.2268412/128.5767208,35.2272377",74,"128.577199,35.2268412","128.5767208,35.2272377",35.2268412,128.577199,35.2272377,128.5767208
20,"128.5657506,35.232173/128.5650213,35.2324509",74,"128.5657506,35.232173","128.5650213,35.2324509",35.232173,128.5657506,35.2324509,128.5650213
21,"128.5808121,35.2246098/128.5802851,35.2249734",74,"128.5808121,35.2246098","128.5802851,35.2249734",35.2246098,128.5808121,35.2249734,128.5802851
22,"128.5704535,35.2305437/128.5703988,35.2305658",74,"128.5704535,35.2305437","128.5703988,35.2305658",35.2305437,128.5704535,35.2305658,128.5703988
23,"128.5808872,35.2245515/128.5808121,35.2246098",74,"128.5808872,35.2245515","128.5808121,35.2246098",35.2245515,128.5808872,35.2246098,128.5808121
24,"128.5679232,35.2314984/128.5676483,35.2315729",74,"128.5679232,35.2314984","128.5676483,35.2315729",35.2314984,128.5679232,35.2315729,128.5676483
25,"128.5710348,35.2302897/128.5705278,35.2305133",74,"128.5710348,35.2302897","128.5705278,35.2305133",35.2302897,128.5710348,35.2305133,128.5705278
26,"128.5649546,35.2324749/128.5646583,35.232592",74,"128.5649546,35.2324749","128.5646583,35.232592",35.2324749,128.5649546,35.232592,128.5646583
27,"128.5800977,35.2250968/128.5799994,35.22514",74,"128.5800977,35.2250968","128.5799994,35.22514",35.2250968,128.5800977,35.22514,128.5799994
28,"128.5661499,35.2320325/128.5657506,35.232173",74,"128.5661499,35.2320325","128.5657506,35.232173",35.2320325,128.5661499,35.232173,128.5657506
29,"128.5800484,35.2208757/128.5800623,35.2209333",74,"128.5800484,35.2208757","128.5800623,35.2209333",35.2208757,128.5800484,35.2209333,128.5800623
30,"128.5703988,35.2305658/128.5703562,35.2305824",74,"128.5703988,35.2305658","128.5703562,35.2305824",35.2305658,128.5703988,35.2305824,128.5703562
31,"128.5676483,35.2315729/128.5674523,35.2316261",74,"128.5676483,35.2315729","128.5674523,35.2316261",35.2315729,128.5676483,35.2316261,128.5674523
32,"128.5805367,35.2222328/128.5806666,35.2226654",74,"128.5805367,35.2222328","128.5806666,35.2226654",35.2222328,128.5805367,35.2226654,128.5806666
