index,path,count,start_path,end_path,start_path_lat,start_path_lng,end_path_lat,end_path_lng
2052,"127.5534115,35.7316998/127.5525869,35.732233",46,"127.5534115,35.7316998","127.5525869,35.732233",35.7316998,127.5534115,35.732233,127.5525869
2053,"128.5274709,35.8406733/128.5275354,35.8404338",46,"128.5274709,35.8406733","128.5275354,35.8404338",35.8406733,128.5274709,35.8404338,128.5275354
2054,"127.5942621,35.7176164/127.5938749,35.7174391",46,"127.5942621,35.7176164","127.5938749,35.7174391",35.7176164,127.5942621,35.7174391,127.5938749
2055,"128.4667292,35.7978888/128.4661999,35.7975018",46,"128.4667292,35.7978888","128.4661999,35.7975018",35.7978888,128.4667292,35.7975018,128.4661999
2056,"128.5330245,35.8794743/128.5326617,35.8791745",46,"128.5330245,35.8794743","128.5326617,35.8791745",35.8794743,128.5330245,35.8791745,128.5326617
2057,"127.7303498,35.6263229/127.7298994,35.6263563",46,"127.7303498,35.6263229","127.7298994,35.6263563",35.6263229,127.7303498,35.6263563,127.7298994
2058,"127.214756,35.8666735/127.2123747,35.866941",46,"127.214756,35.8666735","127.2123747,35.866941",35.8666735,127.214756,35.866941,127.2123747
2059,"127.4786599,35.7743091/127.4762843,35.7746648",46,"127.4786599,35.7743091","127.4762843,35.7746648",35.7743091,127.4786599,35.7746648,127.4762843
2060,"127.3422319,35.7769783/127.3401118,35.7776165",46,"127.3422319,35.7769783","127.3401118,35.7776165",35.7769783,127.3422319,35.7776165,127.3401118
2061,"128.5271806,35.8415124/128.5272868,35.8412474",46,"128.5271806,35.8415124","128.5272868,35.8412474",35.8415124,128.5271806,35.8412474,128.5272868
2062,"127.9451824,35.6991598/127.9448867,35.6988561",46,"127.9451824,35.6991598","127.9448867,35.6988561",35.6991598,127.9451824,35.6988561,127.9448867
2063,"127.3527709,35.7738242/127.3514601,35.7742752",46,"127.3527709,35.7738242","127.3514601,35.7742752",35.7738242,127.3527709,35.7742752,127.3514601
2064,"127.6106392,35.7262519/127.6105849,35.7269489",46,"127.6106392,35.7262519","127.6105849,35.7269489",35.7262519,127.6106392,35.7269489,127.6105849
2065,"127.1600496,35.8938165/127.1590676,35.8946594",46,"127.1600496,35.8938165","127.1590676,35.8946594",35.8938165,127.1600496,35.8946594,127.1590676
2066,"128.5917945,35.9004873/128.5917659,35.9006624",46,"128.5917945,35.9004873","128.5917659,35.9006624",35.9004873,128.5917945,35.9006624,128.5917659
2067,"127.5918573,35.7166274/127.5911097,35.71638",46,"127.5918573,35.7166274","127.5911097,35.71638",35.7166274,127.5918573,35.71638,127.5911097
2068,"128.2245772,35.7050404/128.2235614,35.7052845",46,"128.2245772,35.7050404","128.2235614,35.7052845",35.7050404,128.2245772,35.7052845,128.2235614
2069,"128.5296114,35.8768241/128.5296125,35.8766492",46,"128.5296114,35.8768241","128.5296125,35.8766492",35.8768241,128.5296114,35.8766492,128.5296125
2070,"128.52179,35.8493353/128.5218654,35.8489975",46,"128.52179,35.8493353","128.5218654,35.8489975",35.8493353,128.52179,35.8489975,128.5218654
2071,"128.2987685,35.7270687/128.2983772,35.7264113",46,"128.2987685,35.7270687","128.2983772,35.7264113",35.7270687,128.2987685,35.7264113,128.2983772
2072,"127.8783785,35.5998012/127.8767231,35.597335",46,"127.8783785,35.5998012","127.8767231,35.597335",35.5998012,127.8783785,35.597335,127.8767231
2073,"128.2394006,35.7003556/128.2387381,35.7003101",46,"128.2394006,35.7003556","128.2387381,35.7003101",35.7003556,128.2394006,35.7003101,128.2387381
