from_x,from_y,to_x,to_y,time_transit,time_car
14118381.735462658,4526859.434769278,14126715.335182425,4538964.111798022,1시간3분,24분
14312073.085343832,4284359.919233778,14380830.236749241,4278568.296966275,1시간33분,1시간 5분
