dataset,epochs,num-folds,SEED,criterion,test_losses,,,,,
freesolv,300,5,100,MSELoss(),"[1.223080687635527, 1.1796401617095227, 1.2462662524125707, 0.6900716466227854, 0.7037073660442847]",,,,,
freesolv,300,5,100,MSELoss(),"[2.6512954591766116, 2.3506217415877213, 1.6959235724501722, 1.3282663540577326, 2.4012904849671224]",,,,,
freesolv,300,5,100,MSELoss(),"[1.9830382339597687, 1.2960261547659326, 1.1849035127895085, 1.017817369596226, 1.27285836489146]",,,,,
,,,,,1.983038234,1.296026155,1.184903513,1.01781737,1.272858365,1.350928727
