dataset,epochs,num-folds,SEED,criterion,test_losses
freesolv,300,5,100,MSELoss(),"[7.754316975751261, 11.470708771953433, 8.492586991918369, 7.167820006843627, 8.870976959476033]"
freesolv,300,5,100,MSELoss(),"[4.342076309083954, 7.167936069758858, 5.044994924950787, 6.2832192248246805, 7.86046998828422]"
freesolv,300,5,100,MSELoss(),"[4.688388494056041, 7.16250778558686, 6.420734675850455, 6.522064088836429, 6.087563754948041]"
freesolv,300,5,100,MSELoss(),"[4.18264668382059, 6.513000187911387, 4.796040932963214, 5.408823929433748, 7.619589850647759]"
